locality,decimalLat,decimalLon,institutio,year,n
Goodall,48,-102.608,USNM,1915,2
1 mi. E. of Cleveland;,46.890274,-99.094453,JFBM,1947,1
2 mi. S.E. of Jamestown;,46.871213,-98.650312,JFBM,1947,1
Eagle Butte,47.6508495,-103.7760169,KU,1947,1
"Grinnell, 4 mi W of",48.25,-102.92,USNM,1915,1
Jamestown College Campus;,46.91471,-98.697602,JFBM,1947,1
