locality,decimalLat,decimalLon,institutio,year,n
2 mi N Eagle Butte,45.03,-101.23,KU,1947,1
3 mi WSW Scenic,43.76,-102.61,KU,1946,1
Buffalo,45.58,-103.55,KU,1925,1
Cedar pass,43.75528,-101.93556,UMMZ,1913,1
T30W R38N LITTLE WHITE RIVER ROSEBUD INDIAN RES,43.000716,-102.83663,UMMZ,1934,1
